dataset,id,n,plugin,cs,cs-hybrid,NumSets,gt,ueigv,hybrid-alphabet,snne,kle,predictive,surprise,oracle,best-guess,judge-llm-score
hotpot_qa_final,1861,5,-0.0,,0.24546601071574217,,,,,,,,,0.49948337182335334,,
hotpot_qa_final,1861,10,-0.0,,0.2269072546496283,,,,,,,0.09973691947195178,,0.49948337182335334,,
hotpot_qa_final,1861,25,-0.0,,0.3100141243431857,,,,,,,,,0.49948337182335334,,
hotpot_qa_final,1861,50,-0.0,,0.3421590790997447,,,,,,,,,0.49948337182335334,,
hotpot_qa_final,1861,75,0.1229569993369445,,0.216303486996809,,,,,,,,,0.49948337182335334,,
hotpot_qa_final,1861,100,0.5020040903423308,,0.5022668084809012,,,,,,,,,0.49948337182335334,,
hotpot_qa_final,1862,5,0.6730116670092565,,0.7070860020527115,,,,,,,,,0.6104008372876036,,
hotpot_qa_final,1862,10,0.5004024235381879,,0.5391223794591277,,,,,,,0.15538622708243915,,0.6104008372876036,,
hotpot_qa_final,1862,25,0.6534181947937018,,0.6534234442087214,,,,,,,,,0.6104008372876036,,
hotpot_qa_final,1862,50,0.6268694575724263,,0.6268694591115904,,,,,,,,,0.6104008372876036,,
hotpot_qa_final,1862,75,0.6164075757682482,,0.6164075757686748,,,,,,,,,0.6104008372876036,,
hotpot_qa_final,1862,100,0.6435661541222999,,0.6555288576204871,,,,,,,,,0.6104008372876036,,
hotpot_qa_final,1863,5,0.5004024235381879,,0.7913473065443453,,,,,,,,,0.0428542914977931,,
hotpot_qa_final,1863,10,0.3250829733914482,,0.5256149754034921,,,,,,,0.12365550992293473,,0.0428542914977931,,
hotpot_qa_final,1863,25,0.167944147734173,,0.3307625974165108,,,,,,,,,0.0428542914977931,,
hotpot_qa_final,1863,50,0.098039113279732,,0.2109847184261342,,,,,,,,,0.0428542914977931,,
hotpot_qa_final,1863,75,0.07081055490819625,,0.11662748418257256,,,,,,,,,0.0428542914977931,,
hotpot_qa_final,1863,100,0.056001534354847345,,0.09219658520869906,,,,,,,,,0.0428542914977931,,
hotpot_qa_final,1864,5,-0.0,,0.274933956347361,,,,,,,,,1.3346463400164144,,
hotpot_qa_final,1864,10,0.9502705392332347,,1.0277425562549327,,,,,,,0.3345555865617057,,1.3346463400164144,,
hotpot_qa_final,1864,25,1.3715224038143667,,1.3734853778338754,,,,,,,,,1.3346463400164144,,
hotpot_qa_final,1864,50,1.3407411548764498,,1.340761267798547,,,,,,,,,1.3346463400164144,,
hotpot_qa_final,1864,75,1.2606188549247757,,1.2606201001742265,,,,,,,,,1.3346463400164144,,
hotpot_qa_final,1864,100,1.3763146927430128,,1.3785241902248648,,,,,,,,,1.3346463400164144,,
hotpot_qa_final,1865,5,-0.0,,0.21684749697948166,,,,,,,,,0.7398656538954574,,
hotpot_qa_final,1865,10,-0.0,,0.2811527568386101,,,,,,,0.2075307640364946,,0.7398656538954574,,
hotpot_qa_final,1865,25,0.167944147734173,,0.4098812179255904,,,,,,,,,0.7398656538954574,,
hotpot_qa_final,1865,50,0.7606985146143947,,0.8108739070546056,,,,,,,,,0.7398656538954574,,
hotpot_qa_final,1865,75,0.7456791421030742,,0.7824978235481854,,,,,,,,,0.7398656538954574,,
hotpot_qa_final,1865,100,0.7424171058047362,,0.7545091939150339,,,,,,,,,0.7398656538954574,,
hotpot_qa_final,1866,5,0.6730116670092565,,0.7070860020527115,,,,,,,,,0.3119643098647652,,
hotpot_qa_final,1866,10,0.5004024235381879,,0.5391223794591277,,,,,,,0.08172233645846913,,0.3119643098647652,,
hotpot_qa_final,1866,25,0.5505734282909343,,0.607969066549394,,,,,,,,,0.3119643098647652,,
hotpot_qa_final,1866,50,0.4433066914680872,,0.4657007480803854,,,,,,,,,0.3119643098647652,,
hotpot_qa_final,1866,75,0.3994713578605379,,0.41452139985580805,,,,,,,,,0.3119643098647652,,
hotpot_qa_final,1866,100,0.35021138101268695,,0.3623054435797463,,,,,,,,,0.3119643098647652,,
hotpot_qa_final,1867,5,1.0549201679861442,,1.3572884455193175,,,,,,,,,2.0817234277775887,,
hotpot_qa_final,1867,10,1.0296530140645737,,1.079211089679745,,,,,,,0.2580017619144104,,2.0817234277775887,,
hotpot_qa_final,1867,25,1.2211217392753921,,1.253643202921009,,,,,,,,,2.0817234277775887,,
hotpot_qa_final,1867,50,1.6187708167933113,,1.7206297624317206,,,,,,,,,2.0817234277775887,,
hotpot_qa_final,1867,75,2.0001385029272756,,2.0751280709144546,,,,,,,,,2.0817234277775887,,
hotpot_qa_final,1867,100,2.1069555981214303,,2.1736167111813187,,,,,,,,,2.0817234277775887,,
hotpot_qa_final,1868,5,-0.0,,0.1548608365889166,,,,,,,,,0.6111924687168194,,
hotpot_qa_final,1868,10,-0.0,,0.2154198139662739,,,,,,,0.19086531221124564,,0.6111924687168194,,
hotpot_qa_final,1868,25,0.3669249912727096,,0.3777839618763803,,,,,,,,,0.6111924687168194,,
hotpot_qa_final,1868,50,0.439669879401343,,0.43971787690619657,,,,,,,,,0.6111924687168194,,
hotpot_qa_final,1868,75,0.5859265913025928,,0.6248753133312462,,,,,,,,,0.6111924687168194,,
hotpot_qa_final,1868,100,0.666039978693258,,0.6712920988459765,,,,,,,,,0.6111924687168194,,
hotpot_qa_final,1869,5,0.5004024235381879,,0.7913473065443453,,,,,,,,,1.318578465722789,,
hotpot_qa_final,1869,10,1.2798542258336676,,1.4542598538950489,,,,,,,0.20177149822788681,,1.318578465722789,,
hotpot_qa_final,1869,25,1.2827135191113908,,1.3116099780633186,,,,,,,,,1.318578465722789,,
hotpot_qa_final,1869,50,1.30519297810806,,1.3056245838082894,,,,,,,,,1.318578465722789,,
hotpot_qa_final,1869,75,1.3372806435505913,,1.3372810266949509,,,,,,,,,1.318578465722789,,
hotpot_qa_final,1869,100,1.3269638314066956,,1.3269638565223931,,,,,,,,,1.318578465722789,,
hotpot_qa_final,1870,5,0.6730116670092565,,0.8110250021667778,,,,,,,,,1.9768219553904867,,
hotpot_qa_final,1870,10,1.2798542258336674,,1.4542598538950489,,,,,,,0.2733811316777357,,1.9768219553904867,,
hotpot_qa_final,1870,25,1.524285804205122,,1.5418128185169981,,,,,,,,,1.9768219553904867,,
hotpot_qa_final,1870,50,1.841998234183825,,1.9110334927436798,,,,,,,,,1.9768219553904867,,
hotpot_qa_final,1870,75,2.003090496756804,,2.030843913533281,,,,,,,,,1.9768219553904867,,
hotpot_qa_final,1870,100,2.016701740619899,,2.037416831048633,,,,,,,,,1.9768219553904867,,
hotpot_qa_final,1871,5,-0.0,,2.2204460492503126e-16,,,,,,,,,-0.0,,
hotpot_qa_final,1871,10,-0.0,,1.3322676295501869e-15,,,,,,,0.07092000673617475,,-0.0,,
hotpot_qa_final,1871,25,-0.0,,0.12765527366411641,,,,,,,,,-0.0,,
hotpot_qa_final,1871,50,-0.0,,0.1945238816968006,,,,,,,,,-0.0,,
hotpot_qa_final,1871,75,-0.0,,0.18284434867263372,,,,,,,,,-0.0,,
hotpot_qa_final,1871,100,-0.0,,0.19652957588955447,,,,,,,,,-0.0,,
hotpot_qa_final,1872,5,0.5004024235381879,,0.8134434347713725,,,,,,,,,2.2665378875289544,,
hotpot_qa_final,1872,10,1.2798542258336676,,1.4542598538950489,,,,,,,0.29894604727338503,,2.2665378875289544,,
hotpot_qa_final,1872,25,1.9497389327745829,,2.0797418142674555,,,,,,,,,2.2665378875289544,,
hotpot_qa_final,1872,50,2.2756536179715408,,2.3365269856620783,,,,,,,,,2.2665378875289544,,
hotpot_qa_final,1872,75,2.326417003637128,,2.360831058431991,,,,,,,,,2.2665378875289544,,
hotpot_qa_final,1872,100,2.266934680810619,,2.289357236716207,,,,,,,,,2.2665378875289544,,
hotpot_qa_final,1873,5,-0.0,,0.00493194818656013,,,,,,,,,-0.0,,
hotpot_qa_final,1873,10,-0.0,,0.10977958396596807,,,,,,,0.08834846162121203,,-0.0,,
hotpot_qa_final,1873,25,-0.0,,0.10091796640398185,,,,,,,,,-0.0,,
hotpot_qa_final,1873,50,-0.0,,0.16544129118480588,,,,,,,,,-0.0,,
hotpot_qa_final,1873,75,-0.0,,0.16756724227958852,,,,,,,,,-0.0,,
hotpot_qa_final,1873,100,-0.0,,0.1918603812782509,,,,,,,,,-0.0,,
