graph_id,label,oracle,ood_score
1851,0,0.13718600571155548,3.893332004547119
1852,0,0.0,3.8933615684509277
1853,0,1.0676406621932983,3.8926548957824707
1854,0,0.5509248971939087,3.8923373222351074
1855,0,0.0,3.892791271209717
1856,0,0.6702890992164612,3.8926548957824707
1857,0,0.7836275100708008,3.892827033996582
1858,0,1.8390398025512695,3.891525983810425
1859,0,1.3551433086395264,3.89227032661438
1860,0,1.7957698106765747,3.889543056488037
1861,0,0.4994833767414093,3.892460823059082
1862,0,0.6104008555412292,3.893038749694824
1863,0,0.04285429045557976,3.8932552337646484
1864,0,1.3346463441848755,3.891799211502075
1865,0,0.7398656606674194,3.893002510070801
1866,0,0.3119643032550812,3.8928685188293457
1867,1,2.08172345161438,3.89082670211792
1868,0,0.6111924648284912,3.892910957336426
1869,0,1.3185784816741943,3.8920297622680664
1870,1,1.9768218994140625,3.8899097442626953
1871,0,0.0,3.893216133117676
1872,1,2.26653790473938,3.8906025886535645
1873,0,0.0,3.893341541290283
1874,0,0.35162779688835144,3.8927364349365234
1875,0,0.5931442975997925,3.892545461654663
1876,0,0.4483611583709717,3.892801284790039
1877,0,1.532224178314209,3.8918135166168213
1878,1,2.529208183288574,3.889004707336426
1879,1,2.316390037536621,3.8894155025482178
1880,0,1.3911296129226685,3.8892874717712402
1881,0,0.9711405038833618,3.892589807510376
1882,0,1.720975399017334,3.890625
1883,0,1.2462490797042847,3.892500877380371
1884,0,0.0,3.8931565284729004
1885,0,1.5950679779052734,3.889504909515381
1886,0,1.7153968811035156,3.889878034591675
1887,0,1.492141604423523,3.891808271408081
1888,1,2.1279783248901367,3.889174461364746
1889,0,0.7305050492286682,3.892648696899414
1890,0,0.30990174412727356,3.892859697341919
1891,0,0.899471640586853,3.892685890197754
1892,0,1.3443059921264648,3.892760992050171
1893,0,0.5267089605331421,3.8932151794433594
1894,0,0.7141834497451782,3.8916940689086914
1895,1,2.3784735202789307,3.8896989822387695
1896,0,0.0,3.893371105194092
1897,1,2.9194867610931396,3.8884572982788086
1898,1,2.193925619125366,3.889434576034546
1899,0,1.1129556894302368,3.892519950866699
1900,0,1.855250358581543,3.892367362976074
