id,oracle,num_nodes,num_edges,num_components,avg_degree,avg_clustering,ans_char_len_mean,ans_char_len_std,ans_word_len_mean,ans_word_len_std
1851,0.137186003263752,100,4278,4,85.56,0.9705304892496975,123.82,23.281486206855437,21.19,4.06864842423132
1852,0.0,100,4814,1,96.28,0.978710239053688,154.9,22.48621800125579,24.76,4.266427076606372
1853,1.0676407166615385,100,2226,3,44.52,0.8780579918418617,141.34,42.31175250447563,21.53,7.257348000475105
1854,0.5509248719088385,100,2037,7,40.74,0.7426189509279757,231.02,71.77924212472573,39.27,11.832037018197669
1855,0.0,100,1581,7,31.62,0.9322848637801202,134.41,54.12709025986895,22.82,8.979287276838846
1856,0.6702891014510198,100,2698,5,53.96,0.96,92.93,19.517814939178002,16.51,3.7696021010180902
1857,0.7836275362681947,100,3120,1,62.4,0.8264542692200796,415.2,67.17216685503007,66.02,11.16421067518882
1858,1.8390398465728,100,1257,16,25.14,0.7019031237942954,155.65,82.85642702892758,26.49,13.740083696979433
1859,1.3551432880331464,100,2185,15,43.7,0.7556341643352735,251.7,58.57516538602346,41.48,9.774947570191873
1860,1.7957698194444365,100,458,14,9.16,0.5808649592581481,318.77,64.73806530936803,48.42,9.55110464815458
1861,0.4994833718233533,100,2552,2,51.04,0.8702982180329565,147.01,24.75984450678154,22.46,4.006045431594605
1862,0.6104008372876036,100,3014,6,60.28,0.8855812867802654,130.96,40.17733689531948,21.98,6.7764002243078885
1863,0.0428542914977931,100,4103,5,82.06,0.9447802197802198,108.18,17.796280510263934,14.97,3.1542193963007716
1864,1.3346463400164144,100,1222,7,24.44,0.7688605915739453,155.65,77.92719358478143,23.75,12.091629336032428
1865,0.7398656538954574,100,3383,3,67.66,0.8546210974696714,116.39,29.98429422214236,19.05,4.691215194381942
1866,0.3119643098647652,100,2089,7,41.78,0.9589489489489489,94.49,21.383870089392147,15.45,3.404041715373065
1867,2.0817234277775887,100,1105,9,22.1,0.5488061457741158,361.52,23.440341294443645,62.0,4.793745925682754
1868,0.6111924687168194,100,2354,4,47.08,0.8932377984085149,163.48,97.0308693148732,25.98,15.396090412828835
1869,1.318578465722789,100,1807,2,36.14,0.8522045064869808,134.08,33.185743927174514,21.47,5.1931782176235775
