feature,pearson,spearman,abs_spearman
avg_clustering,-0.8375192615222383,-0.8420019086705878,0.8420019086705878
num_edges,-0.7770129265885239,-0.8038650799399848,0.8038650799399848
avg_degree,-0.7770129265885239,-0.8038650799399848,0.8038650799399848
ans_char_len_mean,0.7235052915682312,0.714252221980231,0.714252221980231
ans_word_len_mean,0.720816388023757,0.7106115199500209,0.7106115199500209
num_components,0.6011496776146159,0.5876615503287901,0.5876615503287901
ans_char_len_std,0.5294373067491459,0.5817528434624034,0.5817528434624034
ans_word_len_std,0.5318080879838524,0.5816601597573279,0.5816601597573279
num_nodes,,,
