id,oracle,n,num_clusters,entropy_cluster,entropy_cluster_norm,max_cluster_share,dispersion_1_minus_max
1851,0.137186003263752,100,3,0.19043755351592534,0.17334373143304282,0.96,0.040000000000000036
1852,0.0,100,1,-1.000088900581841e-12,0.0,1.0,0.0
1853,1.0676407166615385,100,6,1.1111248015311794,0.6201305591591968,0.55,0.44999999999999996
1854,0.5509248719088385,100,2,0.5269079614293803,0.7601675029590803,0.78,0.21999999999999997
1855,0.0,100,1,-1.000088900581841e-12,0.0,1.0,0.0
1856,0.6702891014510198,100,3,0.7560597023056922,0.6881951987104501,0.69,0.31000000000000005
1857,0.7836275362681947,100,3,0.8229537068143472,0.7490847456403804,0.63,0.37
1858,1.8390398465728,100,9,1.8953430864442589,0.8626078125987725,0.33,0.6699999999999999
1859,1.3551432880331464,100,5,1.3771332839358608,0.8556610188541514,0.48,0.52
1860,1.7957698194444365,100,9,1.8226935820952193,0.8295435982720261,0.36,0.64
1861,0.4994833718233533,100,3,0.5020040903393309,0.45694381495398156,0.86,0.14
1862,0.6104008372876036,100,3,0.6435661541192998,0.5857991584087595,0.74,0.26
1863,0.0428542914977931,100,2,0.05600153435284737,0.08079313589302582,0.99,0.010000000000000009
1864,1.3346463400164144,100,5,1.3763146927380125,0.8551523995458054,0.46,0.54
1865,0.7398656538954574,100,3,0.7424171058017361,0.6757771722195072,0.62,0.38
1866,0.3119643098647652,100,3,0.35021138100968696,0.3187761366061741,0.91,0.08999999999999997
1867,2.0817234277775887,100,13,2.1069555981084296,0.821441402723689,0.25,0.75
1868,0.6111924687168194,100,3,0.666039978690258,0.6062557151055756,0.74,0.26
1869,1.318578465722789,100,4,1.3269638314026955,0.9572020695018437,0.37,0.63
1870,1.9768219553904869,100,10,2.016701740609899,0.8758424375915622,0.27,0.73
1871,0.0,100,1,-1.000088900581841e-12,0.0,1.0,0.0
1872,2.2665378875289544,100,12,2.2669346807986193,0.9122816267532716,0.22,0.78
1873,0.0,100,1,-1.000088900581841e-12,0.0,1.0,0.0
1874,0.3516277945949397,100,2,0.34651533691666614,0.4999159581616426,0.89,0.10999999999999999
1875,0.5931443165756229,100,3,0.6298917513421144,0.5733521806002703,0.8,0.19999999999999996
1876,0.4483611673434513,100,2,0.439669879399343,0.6343095546376808,0.84,0.16000000000000003
